id,medical_record_id,physical_exam,diagnosis_type_id,diagnosis_name_id,diagnosis_2_type_id,diagnosis_2_name_id,diagnosis_details,treatment_policy,created_at,updated_at,deleted_at
14,14,良好。,,,,,経過観察。,維持。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
15,15,良好。,,,,,幼若期検診。,成長記録。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
16,16,良好。,,,,,スクリーニング。,異常なし。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
17,17,重度の歯石。,,,,,歯周病。,抜歯を含めた歯科処置を計画。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
18,18,良好。,,,,,肥満気味。,ダイエットフード提案。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
19,19,跛行消失。,8,42,,,回復期。,運動制限解除。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
20,20,良好。,,,,,年次予防。,ワクチン接種。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
21,21,体重28kg。体温38.4℃。心肺音正常。,,,,,フィラリア陰性。健康良好。,フィラリア検査・次回予防薬処方。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
22,22,体重3.8kg。良好。,,,,,ワクチン適応あり。,ワクチン接種実施。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
23,23,シニア期。体重変化なし。,,,,,経過良好。,血液検査実施。結果説明。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
24,24,全身に搔痒。皮膚発赤あり。,11,47,,,アトピー性皮膚炎疑い。,抗ヒスタミン薬処方。薬用シャンプー推奨。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
25,25,腹部軽度緊張。体温38.8℃。,9,21,,,急性胃腸炎疑い。,絶食指示・皮下補液実施。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
26,26,体重3.0kg。体調良好。,,,,,ワクチン適応あり。,ワクチン接種実施。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
27,27,跛行改善傾向。,20,51,,,前肢骨折（回復期）。,運動制限継続。次回X線確認。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
28,28,腹部触診で軽度抵抗感。,9,21,,,急性胃腸炎。,補液・制吐剤投与。食事制限。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
29,29,体温38.3℃。体重24kg。心肺音正常。,,,,,健康良好。ワクチン接種可。,5種混合ワクチン接種実施。フィラリア予防薬処方。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
30,30,体重4.8kg。良好。,,,,,ワクチン適応あり。,ワクチン接種実施。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
31,31,シニア期。体重31kg。,,,,,経過良好。,血液化学検査実施。結果説明。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
32,32,脱水傾向あり。腹部緊張。,14,31,,,急性胃腸炎。,補液・絶食・制吐剤処方。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
33,33,体幹・四肢に紅斑。搔痒感強。,15,33,,,アトピー性皮膚炎。,ステロイド処方。薬用シャンプー推奨。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
34,34,一般状態良好。,,,,,初診。特異所見なし。,経過観察。次回再診。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
35,35,耳道内に暗褐色の耳垢。臭気あり。,,,,,外耳炎。,耳洗浄・点耳薬処方。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
36,36,体重4.0kg。体調良好。,,,,,ワクチン適応あり。,ワクチン接種実施。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
37,37,"",,,,,"","",2026-05-07 13:10:02.89686+09,2026-05-07 13:10:02.89686+09,
38,38,"",,,,,"","",2026-05-07 14:44:37.891701+09,2026-05-07 14:44:37.891701+09,
39,39,"",,,,,"","",2026-05-07 14:44:51.908098+09,2026-05-07 14:44:51.908098+09,
40,40,"",,,,,"","",2026-05-07 14:45:37.465514+09,2026-05-07 14:45:37.465514+09,
41,41,"",,,,,"","",2026-05-07 14:45:50.501602+09,2026-05-07 14:45:50.501602+09,
42,42,"",,,,,"","",2026-05-09 17:48:12.303789+09,2026-05-09 17:48:12.303789+09,
43,43,"",,,,,"","",2026-05-09 17:48:44.383347+09,2026-05-09 17:48:44.383347+09,
44,44,"",,,,,"","",2026-05-09 17:51:27.802325+09,2026-05-09 17:51:27.802325+09,
45,45,"",,,,,"","",2026-05-09 17:51:37.195867+09,2026-05-09 17:51:37.195867+09,
46,46,"",,,,,"","",2026-05-09 17:52:06.842019+09,2026-05-09 17:52:06.842019+09,
47,47,"",,,,,"","",2026-05-11 17:19:30.872507+09,2026-05-11 17:19:30.872507+09,
48,48,"",,,,,"","",2026-05-11 17:30:32.843875+09,2026-05-11 17:30:32.843875+09,
49,49,"",,,,,"","",2026-05-11 17:32:10.206396+09,2026-05-11 17:32:10.206396+09,
50,50,"",,,,,"","",2026-05-12 14:08:01.563109+09,2026-05-12 14:08:01.563109+09,
51,51,"",,,,,"","",2026-05-12 14:10:53.608981+09,2026-05-12 14:10:53.608981+09,
52,52,"",,,,,"","",2026-05-12 14:12:01.764254+09,2026-05-12 14:12:01.764254+09,
53,53,"",,,,,"","",2026-05-12 14:12:14.276389+09,2026-05-12 14:12:14.276389+09,
54,54,"",,,,,"","",2026-05-12 14:12:27.858983+09,2026-05-12 14:12:27.858983+09,
55,55,"",,,,,"","",2026-05-13 14:27:04.157177+09,2026-05-13 14:27:04.157177+09,
56,56,"",,,,,"","",2026-05-13 14:29:38.41457+09,2026-05-13 14:29:38.41457+09,
57,57,"",,,,,"","",2026-05-20 11:16:03.143892+09,2026-05-20 11:16:03.143892+09,
58,58,"",,,,,"","",2026-05-20 11:16:14.103071+09,2026-05-20 11:16:14.103071+09,
59,59,"",,,,,"","",2026-05-20 11:16:34.48364+09,2026-05-20 11:16:34.48364+09,
60,60,"",,,,,"","",2026-05-20 11:16:53.008248+09,2026-05-20 11:16:53.008248+09,
100,61,体重26.4kg。体温38.5℃。心肺音正常。,,,,,健康状態良好。,5種混合ワクチン接種実施。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
101,62,左耳介に発赤、耳道内に黒色耳垢多量。,3,41,,,マラセチア性外耳炎。,耳道洗浄、点耳薬処方。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
102,63,軽度脱水、腹部圧痛あり。,1,1,,,急性胃腸炎。,皮下補液、吐き気止め注射。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
103,64,術前再チェック、異常なし。,,,,,避妊手術適応。,全身麻酔下にて避妊手術実施。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
104,65,結膜充血、角膜に傷なし。,3,41,,,結膜炎。,抗菌点眼薬処方。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
105,74,意識朦朧、呼吸浅い。,4,33,,,てんかん重積の疑い。,抗痙攣薬投与。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
106,75,右膝蓋骨脱臼(G2)を確認。,8,42,,,膝蓋骨脱臼。,運動制限、体重管理。消炎剤。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
107,78,口腔内歯石重度、歯肉炎。,3,41,,,歯周病。,抜歯を含む歯科処置を推奨。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
301,301,心雑音 Lev. 3/6。肺音正常。,,,,,僧帽弁閉鎖不全症の維持。,投薬継続。減塩食。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
302,302,微熱あり。腹部軟らかい。,,,,,感冒の疑い。,抗生剤・消炎剤。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
401,401,良好。,,,,,年次予防。,ワクチン接種。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
402,402,良好。,,,,,予防シーズン。,フィラリア薬。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
501,501,不正咬合の疑い。切歯が伸びている。,,,,,過長歯（うサギ）,ニッパーによる切歯カット。牧草中心の食事指導。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
502,502,頬袋に炎症。,,,,,頬袋炎,内容物の除去。抗生剤シロップ処方。,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
503,503,"",,,,,"","",2026-05-31 13:40:33.978273+09,2026-05-31 13:40:33.978273+09,
504,1023,"",,,,,"","",2026-06-12 18:11:55.21212+09,2026-06-12 18:11:55.21212+09,
505,1024,"",,,,,"","",2026-06-12 18:28:06.558706+09,2026-06-12 18:28:06.558706+09,
506,1025,"",,,,,"","",2026-06-13 17:45:10.166372+09,2026-06-13 17:45:10.166372+09,
507,1026,"",,,,,"","",2026-06-13 17:50:09.176007+09,2026-06-13 17:50:09.176007+09,
508,1027,"",,,,,"","",2026-06-13 17:50:15.723363+09,2026-06-13 17:50:15.723363+09,
509,1028,"",,,,,"","",2026-06-13 17:50:19.716083+09,2026-06-13 17:50:19.716083+09,
510,1029,"",,,,,"","",2026-06-13 17:51:28.155003+09,2026-06-13 17:51:28.155003+09,
511,1030,"",,,,,"","",2026-06-13 17:52:06.866294+09,2026-06-13 17:52:06.866294+09,
512,1031,"",,,,,"","",2026-06-13 17:52:47.838984+09,2026-06-13 17:52:47.838984+09,
513,1032,"",,,,,"","",2026-06-13 17:52:51.098924+09,2026-06-13 17:52:51.098924+09,
514,1033,"",,,,,"","",2026-06-13 17:52:53.838254+09,2026-06-13 17:52:53.838254+09,
515,1034,"",,,,,"","",2026-06-13 17:53:55.590628+09,2026-06-13 17:53:55.590628+09,
516,1021,"",,,,,"","",2026-06-15 11:03:42.267383+09,2026-06-15 11:03:42.267383+09,
517,1035,"",,,,,"","",2026-06-15 11:23:15.624023+09,2026-06-15 11:23:15.624023+09,
525,1036,"",,,,,"","",2026-06-15 13:49:48.554762+09,2026-06-15 13:49:48.554762+09,
