id,clinic_id,owner_id,pet_id,hospitalization_type,start_date,end_date,status,cage_id,doctor_id,memo,owner_request,staff_notes,insurance_company_name,insurance_number,created_at,updated_at,deleted_at
1009,1,46,56,hotel,2026-06-04,2026-06-06,reserved,10,4,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1010,1,22,28,hotel,2026-06-05,2026-06-07,reserved,5,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1011,1,40,72,hotel,2026-06-06,2026-06-08,reserved,7,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1012,1,12,14,hotel,2026-06-07,2026-06-10,reserved,1,4,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1013,1,14,16,hotel,2026-06-07,2026-06-10,reserved,6,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1014,1,20,24,hotel,2026-06-08,2026-06-10,reserved,5,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1015,1,55,65,hotel,2026-06-08,2026-06-11,reserved,20,4,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1016,1,22,27,hotel,2026-06-09,2026-06-12,reserved,1,1,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1017,1,9,11,hotel,2026-06-09,2026-06-11,reserved,14,4,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1018,1,49,59,hotel,2026-06-10,2026-06-12,reserved,18,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1019,1,44,54,hotel,2026-06-10,2026-06-12,reserved,5,4,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1020,1,15,17,hotel,2026-06-11,2026-06-14,reserved,18,1,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1021,1,58,68,hotel,2026-06-11,2026-06-14,reserved,18,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1022,1,14,16,hotel,2026-06-12,2026-06-15,reserved,2,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1023,1,10,81,hotel,2026-06-13,2026-06-16,reserved,12,1,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1024,1,7,9,hotel,2026-06-13,2026-06-15,reserved,8,1,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1025,1,7,9,hotel,2026-06-14,2026-06-17,reserved,8,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1026,1,20,24,hotel,2026-06-14,2026-06-16,reserved,12,1,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1027,1,60,70,hotel,2026-06-15,2026-06-17,reserved,15,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1028,1,20,24,hotel,2026-06-16,2026-06-18,reserved,16,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1029,1,10,12,hotel,2026-06-17,2026-06-20,reserved,1,4,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1030,1,16,18,hotel,2026-06-18,2026-06-21,reserved,7,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1031,1,47,57,hotel,2026-06-18,2026-06-20,reserved,10,1,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1032,1,50,60,hotel,2026-06-19,2026-06-21,reserved,11,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1033,1,11,13,hotel,2026-06-19,2026-06-21,reserved,16,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1034,1,51,61,hotel,2026-06-20,2026-06-23,reserved,16,4,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1035,1,9,11,hotel,2026-06-21,2026-06-23,reserved,19,4,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1036,1,7,9,hotel,2026-06-22,2026-06-25,reserved,17,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1037,1,4,6,hotel,2026-06-22,2026-06-24,reserved,18,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1038,1,43,75,hotel,2026-06-23,2026-06-26,reserved,2,4,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1039,1,42,52,hotel,2026-06-23,2026-06-25,reserved,20,1,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1040,1,21,26,hotel,2026-06-24,2026-06-26,reserved,3,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1041,1,6,8,hotel,2026-06-24,2026-06-27,reserved,18,1,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1042,1,47,57,hotel,2026-06-25,2026-06-28,reserved,3,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1043,1,43,75,hotel,2026-06-26,2026-06-28,reserved,2,4,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1044,1,46,56,hotel,2026-06-26,2026-06-28,reserved,3,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1045,1,53,63,hotel,2026-06-27,2026-06-29,reserved,19,3,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1046,1,53,63,hotel,2026-06-28,2026-07-01,reserved,19,4,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1047,1,11,13,hotel,2026-06-28,2026-07-01,reserved,14,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1048,1,39,71,hotel,2026-06-29,2026-07-01,reserved,17,1,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1049,1,13,15,hotel,2026-06-30,2026-07-02,reserved,10,2,ペットホテル預かりデモ,ご飯持ち込みあり,自動生成データ,,,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,
1050,1,3,4,hotel,2026-06-08,2026-06-15,reserved,3,,怖がり,排泄は外へ,"怖がりなので優しく
",,,2026-06-08 18:18:53.211154+09,2026-06-08 18:18:53.211154+09,
